Names,Rates,Prices,category_name,url
The Story of Hong ...,4,43.19,Classics,http://books.toscrape.com/catalogue/category/books/classics_6/index.html
The Little Prince,2,45.42,Classics,http://books.toscrape.com/catalogue/category/books/classics_6/index.html
Sense and Sensibility,1,37.46,Classics,http://books.toscrape.com/catalogue/category/books/classics_6/index.html
Of Mice and Men,2,47.11,Classics,http://books.toscrape.com/catalogue/category/books/classics_6/index.html
Emma,2,32.93,Classics,http://books.toscrape.com/catalogue/category/books/classics_6/index.html
Alice in Wonderland (Alice's ...,1,55.53,Classics,http://books.toscrape.com/catalogue/category/books/classics_6/index.html
Names,Rates,Prices,category_name,url
Sophie's World,5,15.94,Philosophy,http://books.toscrape.com/catalogue/category/books/philosophy_7/index.html
The Death of Humanity: ...,4,58.11,Philosophy,http://books.toscrape.com/catalogue/category/books/philosophy_7/index.html
The Stranger,4,17.44,Philosophy,http://books.toscrape.com/catalogue/category/books/philosophy_7/index.html
Proofs of God: Classical ...,1,54.21,Philosophy,http://books.toscrape.com/catalogue/category/books/philosophy_7/index.html
Kierkegaard: A Christian Missionary ...,1,47.13,Philosophy,http://books.toscrape.com/catalogue/category/books/philosophy_7/index.html
At The Existentialist Café: ...,5,29.93,Philosophy,http://books.toscrape.com/catalogue/category/books/philosophy_7/index.html
Critique of Pure Reason,1,20.75,Philosophy,http://books.toscrape.com/catalogue/category/books/philosophy_7/index.html
"Run, Spot, Run: The ...",1,20.02,Philosophy,http://books.toscrape.com/catalogue/category/books/philosophy_7/index.html
The Nicomachean Ethics,1,36.34,Philosophy,http://books.toscrape.com/catalogue/category/books/philosophy_7/index.html
Meditations,2,25.89,Philosophy,http://books.toscrape.com/catalogue/category/books/philosophy_7/index.html
Beyond Good and Evil,1,43.38,Philosophy,http://books.toscrape.com/catalogue/category/books/philosophy_7/index.html
Names,Rates,Prices,category_name,url
Chase Me (Paris Nights ...,5,25.27,Romance,http://books.toscrape.com/catalogue/category/books/romance_8/index.html
Black Dust,5,34.53,Romance,http://books.toscrape.com/catalogue/category/books/romance_8/index.html
Her Backup Boyfriend (The ...,1,33.97,Romance,http://books.toscrape.com/catalogue/category/books/romance_8/index.html
First and First (Five ...,4,15.97,Romance,http://books.toscrape.com/catalogue/category/books/romance_8/index.html
Fifty Shades Darker (Fifty ...,1,21.96,Romance,http://books.toscrape.com/catalogue/category/books/romance_8/index.html
The Wedding Dress,1,24.12,Romance,http://books.toscrape.com/catalogue/category/books/romance_8/index.html
Suddenly in Love (Lake ...,2,55.99,Romance,http://books.toscrape.com/catalogue/category/books/romance_8/index.html
Something More Than This,4,16.24,Romance,http://books.toscrape.com/catalogue/category/books/romance_8/index.html
Doing It Over (Most ...,3,35.61,Romance,http://books.toscrape.com/catalogue/category/books/romance_8/index.html
The Wedding Pact (The ...,3,32.61,Romance,http://books.toscrape.com/catalogue/category/books/romance_8/index.html
Hold Your Breath (Search ...,1,28.82,Romance,http://books.toscrape.com/catalogue/category/books/romance_8/index.html
Dirty (Dive Bar #1),4,40.83,Romance,http://books.toscrape.com/catalogue/category/books/romance_8/index.html
Take Me Home Tonight ...,3,53.98,Romance,http://books.toscrape.com/catalogue/category/books/romance_8/index.html
Off the Hook (Fishing ...,3,47.67,Romance,http://books.toscrape.com/catalogue/category/books/romance_8/index.html
A Gentleman's Position (Society ...,5,14.75,Romance,http://books.toscrape.com/catalogue/category/books/romance_8/index.html
"Sit, Stay, Love",3,20.9,Romance,http://books.toscrape.com/catalogue/category/books/romance_8/index.html
A Girl's Guide to ...,1,31.3,Romance,http://books.toscrape.com/catalogue/category/books/romance_8/index.html
The Perfect Play (Play ...,3,59.99,Romance,http://books.toscrape.com/catalogue/category/books/romance_8/index.html
Dark Lover (Black Dagger ...,1,12.87,Romance,http://books.toscrape.com/catalogue/category/books/romance_8/index.html
Changing the Game (Play ...,3,13.38,Romance,http://books.toscrape.com/catalogue/category/books/romance_8/index.html
Names,Rates,Prices,category_name,url
I Had a Nice ...,4,57.36,Womens Fiction,http://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html
Will You Won't You ...,3,13.86,Womens Fiction,http://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html
Keep Me Posted,4,20.46,Womens Fiction,http://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html
Grey (Fifty Shades #4),4,48.49,Womens Fiction,http://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html
Meternity,3,43.58,Womens Fiction,http://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html
Some Women,5,13.73,Womens Fiction,http://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html
Shopaholic Ties the Knot ...,5,48.39,Womens Fiction,http://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html
Can You Keep a ...,1,21.94,Womens Fiction,http://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html
Twenties Girl,2,42.8,Womens Fiction,http://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html
The Undomestic Goddess,4,45.75,Womens Fiction,http://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html
The Nanny Diaries (Nanny ...,5,52.53,Womens Fiction,http://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html
The Devil Wears Prada ...,1,44.29,Womens Fiction,http://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html
Something Borrowed (Darcy & ...,5,48.96,Womens Fiction,http://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html
Something Blue (Darcy & ...,1,54.62,Womens Fiction,http://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html
I've Got Your Number,1,19.69,Womens Fiction,http://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html
The Edge of Reason ...,4,19.18,Womens Fiction,http://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html
Bridget Jones's Diary (Bridget ...,1,29.82,Womens Fiction,http://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html
Names,Rates,Prices,category_name,url
Soumission,1,50.1,Fiction,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html
Private Paris (Private #10),5,47.61,Fiction,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html
"We Love You, Charlie ...",5,50.27,Fiction,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html
Thirst,5,17.27,Fiction,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html
The Murder That Never ...,3,54.11,Fiction,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html
Tuesday Nights in 1980,2,21.04,Fiction,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html
The Vacationers,4,42.15,Fiction,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html
The Regional Office Is ...,5,51.36,Fiction,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html
Finders Keepers (Bill Hodges ...,5,53.53,Fiction,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html
The Time Keeper,5,27.88,Fiction,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html
The Testament of Mary,4,52.67,Fiction,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html
The First Hostage (J.B. ...,3,25.85,Fiction,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html
Take Me with You,3,45.21,Fiction,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html
Still Life with Bread ...,3,26.41,Fiction,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html
Shtum,4,55.84,Fiction,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html
My Name Is Lucy ...,1,41.56,Fiction,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html
My Mrs. Brown,3,24.48,Fiction,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html
Mr. Mercedes (Bill Hodges ...,1,28.9,Fiction,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html
I Am Pilgrim (Pilgrim ...,4,10.6,Fiction,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html
Eligible (The Austen Project ...,3,27.09,Fiction,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html
Names,Rates,Prices,category_name,url
Birdsong: A Story in ...,3,54.64,Childrens,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html
The Bear and the ...,1,36.89,Childrens,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html
The Secret of Dreadwillow ...,1,56.13,Childrens,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html
The White Cat and ...,4,58.08,Childrens,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html
Little Red,3,13.47,Childrens,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html
Walt Disney's Alice in ...,5,12.96,Childrens,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html
Twenty Yawns,2,22.08,Childrens,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html
Rain Fish,3,23.57,Childrens,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html
Once Was a Time,2,18.28,Childrens,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html
Luis Paints the World,3,53.95,Childrens,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html
Nap-a-Roo,1,25.08,Childrens,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html
The Whale,4,35.96,Childrens,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html
"Shrunken Treasures: Literary Classics, ...",3,52.87,Childrens,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html
Raymie Nightingale,2,34.41,Childrens,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html
Playing from the Heart,1,32.38,Childrens,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html
Maybe Something Beautiful: How ...,1,22.54,Childrens,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html
The Wild Robot,3,56.07,Childrens,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html
The Thing About Jellyfish,1,48.77,Childrens,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html
The Lonely Ones,5,43.59,Childrens,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html
The Day the Crayons ...,5,26.33,Childrens,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html
Names,Rates,Prices,category_name,url
Don't Be a Jerk: ...,2,37.97,Religion,http://books.toscrape.com/catalogue/category/books/religion_12/index.html
You Are What You ...,4,21.87,Religion,http://books.toscrape.com/catalogue/category/books/religion_12/index.html
God: The Most Unpleasant ...,5,30.03,Religion,http://books.toscrape.com/catalogue/category/books/religion_12/index.html
The Book of Mormon,3,24.57,Religion,http://books.toscrape.com/catalogue/category/books/religion_12/index.html
A History of God: ...,1,27.62,Religion,http://books.toscrape.com/catalogue/category/books/religion_12/index.html
The Bhagavad Gita,3,57.49,Religion,http://books.toscrape.com/catalogue/category/books/religion_12/index.html
Choosing Our Religion: The ...,4,28.42,Religion,http://books.toscrape.com/catalogue/category/books/religion_12/index.html
Names,Rates,Prices,category_name,url
Worlds Elsewhere: Journeys Around ...,5,40.3,Nonfiction,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
The Five Love Languages: ...,3,31.05,Nonfiction,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
Reasons to Stay Alive,2,26.41,Nonfiction,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
#HigherSelfie: Wake Up Your ...,5,23.11,Nonfiction,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
Unseen City: The Majesty ...,4,44.18,Nonfiction,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
Throwing Rocks at the ...,3,31.12,Nonfiction,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
The Life-Changing Magic of ...,3,16.77,Nonfiction,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
The Gutsy Girl: Escapades ...,1,37.13,Nonfiction,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
The Electric Pencil: Drawings ...,1,56.06,Nonfiction,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
Spark Joy: An Illustrated ...,4,41.83,Nonfiction,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
Reskilling America: Learning to ...,2,19.83,Nonfiction,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
In the Country We ...,4,22.0,Nonfiction,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
Everydata: The Misinformation Hidden ...,2,54.35,Nonfiction,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
Call the Nurse: True ...,5,29.14,Nonfiction,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
Algorithms to Live By: ...,1,30.81,Nonfiction,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
The Power of Now: ...,2,43.54,Nonfiction,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
The Omnivore's Dilemma: A ...,2,38.21,Nonfiction,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
The Genius of Birds,1,17.24,Nonfiction,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
The Artist's Way: A ...,5,38.49,Nonfiction,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
So You've Been Publicly ...,2,12.23,Nonfiction,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
Names,Rates,Prices,category_name,url
Rip it Up and ...,5,35.02,Music,http://books.toscrape.com/catalogue/category/books/music_14/index.html
Our Band Could Be ...,3,57.25,Music,http://books.toscrape.com/catalogue/category/books/music_14/index.html
How Music Works,2,37.32,Music,http://books.toscrape.com/catalogue/category/books/music_14/index.html
Love Is a Mix ...,1,18.03,Music,http://books.toscrape.com/catalogue/category/books/music_14/index.html
Please Kill Me: The ...,4,31.19,Music,http://books.toscrape.com/catalogue/category/books/music_14/index.html
Kill 'Em and Leave: ...,5,45.05,Music,http://books.toscrape.com/catalogue/category/books/music_14/index.html
"Chronicles, Vol. 1",2,52.6,Music,http://books.toscrape.com/catalogue/category/books/music_14/index.html
This Is Your Brain ...,1,38.4,Music,http://books.toscrape.com/catalogue/category/books/music_14/index.html
Orchestra of Exiles: The ...,3,12.36,Music,http://books.toscrape.com/catalogue/category/books/music_14/index.html
No One Here Gets ...,5,20.02,Music,http://books.toscrape.com/catalogue/category/books/music_14/index.html
Life,5,31.58,Music,http://books.toscrape.com/catalogue/category/books/music_14/index.html
Old Records Never Die: ...,2,55.66,Music,http://books.toscrape.com/catalogue/category/books/music_14/index.html
Forever Rockers (The Rocker ...,3,28.8,Music,http://books.toscrape.com/catalogue/category/books/music_14/index.html
Names,Rates,Prices,category_name,url
The Coming Woman: A ...,3,17.93,Default,http://books.toscrape.com/catalogue/category/books/default_15/index.html
The Boys in the ...,4,22.6,Default,http://books.toscrape.com/catalogue/category/books/default_15/index.html
Starving Hearts (Triangular Trade ...,2,13.99,Default,http://books.toscrape.com/catalogue/category/books/default_15/index.html
America's Cradle of Quarterbacks: ...,3,22.5,Default,http://books.toscrape.com/catalogue/category/books/default_15/index.html
Aladdin and His Wonderful ...,3,53.13,Default,http://books.toscrape.com/catalogue/category/books/default_15/index.html
Penny Maybe,3,33.29,Default,http://books.toscrape.com/catalogue/category/books/default_15/index.html
Maude (1883-1993):She Grew Up ...,2,18.02,Default,http://books.toscrape.com/catalogue/category/books/default_15/index.html
The Inefficiency Assassin: Time ...,5,20.59,Default,http://books.toscrape.com/catalogue/category/books/default_15/index.html
Soul Reader,2,39.58,Default,http://books.toscrape.com/catalogue/category/books/default_15/index.html
Bossypants,2,49.46,Default,http://books.toscrape.com/catalogue/category/books/default_15/index.html
A World of Flavor: ...,1,42.95,Default,http://books.toscrape.com/catalogue/category/books/default_15/index.html
"A Piece of Sky, ...",5,56.76,Default,http://books.toscrape.com/catalogue/category/books/default_15/index.html
Tracing Numbers on a ...,3,41.6,Default,http://books.toscrape.com/catalogue/category/books/default_15/index.html
Thirteen Reasons Why,1,52.72,Default,http://books.toscrape.com/catalogue/category/books/default_15/index.html
The Secret (The Secret ...,4,27.37,Default,http://books.toscrape.com/catalogue/category/books/default_15/index.html
The Psychopath Test: A ...,2,36.0,Default,http://books.toscrape.com/catalogue/category/books/default_15/index.html
The Kite Runner,4,41.82,Default,http://books.toscrape.com/catalogue/category/books/default_15/index.html
The Girl on the ...,2,55.02,Default,http://books.toscrape.com/catalogue/category/books/default_15/index.html
The Emerald Mystery,2,23.15,Default,http://books.toscrape.com/catalogue/category/books/default_15/index.html
The Bridge to Consciousness: ...,3,32.0,Default,http://books.toscrape.com/catalogue/category/books/default_15/index.html
Names,Rates,Prices,category_name,url
Mesaerion: The Best Science ...,1,37.59,Science Fiction,http://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
Join,5,35.67,Science Fiction,http://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
William Shakespeare's Star Wars: ...,4,43.3,Science Fiction,http://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
The Project,1,10.65,Science Fiction,http://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
Soft Apocalypse,2,26.12,Science Fiction,http://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
Sleeping Giants (Themis Files ...,1,48.74,Science Fiction,http://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
Arena,4,21.36,Science Fiction,http://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
Foundation (Foundation (Publication Order) ...,1,32.42,Science Fiction,http://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
The Restaurant at the ...,1,10.92,Science Fiction,http://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
Ready Player One,4,19.07,Science Fiction,http://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
"Life, the Universe and ...",2,33.26,Science Fiction,http://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
Dune (Dune #1),1,54.86,Science Fiction,http://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
Do Androids Dream of ...,1,51.48,Science Fiction,http://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
Three Wishes (River of ...,2,44.18,Science Fiction,http://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
The Last Girl (The ...,2,36.26,Science Fiction,http://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
Having the Barbarian's Baby ...,4,34.96,Science Fiction,http://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
Names,Rates,Prices,category_name,url
The Book of Basketball: ...,5,44.84,Sports and Games,http://books.toscrape.com/catalogue/category/books/sports-and-games_17/index.html
